Intersection,Lat,Lon,2016,2015,2014,2013,2012,2011
14th St/Lakeside Dr/Oak St,37.801094,-122.26293,189,170,268,156,202,202
40th St/West St,37.830208,-122.270994,254,294,203,177,134,145
Bancroft Ave/73rd Ave,37.765871,-122.177102,19,63,39,38,11,15
Broadway/27th St,37.815591,-122.264097,376,731,477,379,341,318
E 12th St/Fruitvale Ave,37.776212,-122.226507,67,214,70,84,83,44
Foothill Blvd/16th Ave,37.790026,-122.242611,35,46,48,42,39,28
Foothill Blvd/38th Ave,37.779017,-122.216711,60,71,64,58,60,42
Grand Ave/Bay Pl,37.81063,-122.260352,316,485,489,460,419,288
MacArthur Blvd/Fruitvale Ave,37.800342,-122.21614,34,41,59,65,32,21
Mandela Pkwy/7th St,37.805045,-122.293609,176,148,145,127,104,91
Market St/55th St,37.839231,-122.273925,106,135,121,102,88,111
Oak St/2nd St,37.792809,-122.268009,33,53,71,73,52,63
Park Blvd/Monterey Blvd,37.820991,-122.207773,33,37,20,27,17,14
San Pablo Ave/W Grand Ave,37.812772,-122.27398,236,152,249,247,217,193
Shafter Ave/Cavour St,37.837916,-122.257307,159,177,183,196,125,182
66th Ave/San Leandro St,37.756793,-122.200739,23,39,17,37,69,63
Bancroft Ave/Aueson Ave,37.756317,-122.167639,25,13,15,26,29,46
Broadway/12th St,37.802947,-122.27206,107,135,171,99,240,187
Broadway/20th St,37.809062,-122.268251,263,387,293,248,229,175
Chatham Rd/13th Ave,37.802897,-122.230783,5,18,11,19,100,43
Fruitvale Ave/Foothill Blvd,37.783738,-122.222831,88,115,92,105,95,59
Fruitvale Ave/Alameda Ave,37.769553,-122.229723,90,104,62,107,92,116
Grand Ave/Staten Ave,37.808775,-122.253823,282,345,314,280,205,182
Grand Ave/Lake Park Ave,37.811448,-122.24794,168,419,147,161,178,107
MacArthur Blvd/38th Ave,37.790765,-122.197989,29,50,20,23,33,28
Mountain Blvd/La Salle Ave,37.826246,-122.210534,19,23,9,20,28,50
Webster St/7th St,37.798559,-122.27179,22,44,37,43,71,98
Telegraph Ave/40th St,37.829148,-122.264462,300,373,311,369,372,370
Doolittle Dr/Airport Access Rd,37.725616,-122.199435,22,34,17,12,18,23
Mandela Pkwy/14th St,37.810738,-122.291349,185,254,235,192,144,129
Telegraph Ave/66th St,37.852018,-122.260255,113,127,229,251,197,219
Telegraph Ave/27th St,37.816181,-122.267906,277,258,214,292,216,273