LAT,LON,NAME,ADDRESS
37.81214797,-122.2860738,DeFremery Recreation Center,1651 Adeline St
37.82353025,-122.2838479,Poplar Recreation Center,3131 Union St
37.82365291,-122.2609766,Mosswood Recreation Center,3612 Webster St
37.84493151,-122.2824012,Golden Gate Recreation Center,1075 62nd St
37.84548127,-122.2635156,Bushrod Recreation Center,560 59th St
37.80039565,-122.2682035,Lincoln Square Recreation Center,250 10th St
37.80030416,-122.2687251,Lincoln Square Recreation Center,250 10th St
37.8005829,-122.2486995,FM Smith Recreation Center,1969 Park Blvd
37.7926446,-122.2483583,Franklin Recreation Center,1010 East 15th St
37.79064906,-122.2401515,San Antonio Recreation Center,1701 East 19th St
37.79410184,-122.2279561,Manzanita Recreation Center,2701 22nd Ave
37.7810294,-122.2256979,Sanborn (Carmen Flores) Recreation Center,1637 Fruitvale Ave
37.7658101,-122.2000391,Rainbow Recreation Center,5800 International Blvd
37.76161953,-122.1759135,Arroyo Viejo Recreation Center,7701 Krause Ave
37.73701568,-122.1900159,Brookfield (Ira Jinkins) Recreation Center,9175 Edes Ave
37.75002109,-122.1846896,Tassafargona Recreation Center,975 85th Ave`
37.74910893,-122.163515,Verdese Carter Recreation Center,9600 Sunnyside St
37.7350103,-122.13494,Sheffield Village Recreation Center,247 Marlow Dr
37.78173302,-122.2053024,Discovery Center Recreation Center,2521 High St
37.78196467,-122.2052157,Brookdale Recreation Center,2535 High Street
37.79818822,-122.1864102,Redwood Heights Recreation Center,3883 Aliso Ave
37.82959854,-122.2129372,Montclair Recreation Center,6300 Moraga Ave
37.80593077,-122.2152919,Dimond Recreation Center,3860 Hanly Rd
37.78992029,-122.2032692,Allendale Recreation Center,3711 Suter St
37.80781266,-122.3000996,Campbell Village Recreation Center,800 Willow St.
37.8050596,-122.2576557,Lake Merritt Boating Center,568 Bellevue Avenue
37.80273053,-122.2657796,Malonga Casquelourd Center for the Arts,1428 Alice Street
37.80653368,-122.256554,Rotary Nature Center,600 Bellevue Avenue
37.83305792,-122.2570757,Studio One Art Center,365 45th Street
37.80112962,-122.278839,Jefferson Square Recreation Center,645 7th St
37.79841733,-122.1873627,Redwood Annex Recreation Center,3731 Redwood Rd